file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/CombinatorAppTest.java,CombinatorAppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/CombinatorApp.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FindersTest.java,FindersTest,4,5,1,9,10,0.0,0.0,5,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,27,1,0,0,0,0,28,10,4,1,4,0,0,0,0,53,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finders.java,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/test/java/com/iluwatar/combinator/FinderTest.java,FinderTest,2,1,1,5,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,2,2,0,2,0,0,0,0,11,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/combinator/src/main/java/com/iluwatar/combinator/Finder.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/NewArithmeticTest.java,NewArithmeticTest,3,3,1,5,0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,11,1,0,1,0,0,0,0,16,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/NewArithmetic.java,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/OldArithmeticTest.java,OldArithmeticTest,3,2,1,3,0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,8,1,0,1,0,0,0,0,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/OldArithmetic.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/NewSourceTest.java,NewSourceTest,2,3,1,5,0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,11,1,0,1,0,0,0,0,16,1,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/main/java/com/iluwatar/strangler/NewSource.java,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/luana-martins/.jnose_projects/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/AppTest.java,AppTest,2,1,1,2,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns,/home/luana-martins/.jnose_projects/java-design-patterns/module/src/main/java/com/iluwatar/module/App.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
